Image Filename,Detected Objects
image_14.png,"matchstick, nematode, lighter, digital_clock, spotlight"
image_13.png,"matchstick, nematode, lighter, digital_clock, spotlight"
image_12.png,"pillow, pencil_box, handkerchief, purse, bib"
image_38.png,"stupa, candle, matchstick, bell_cote, maze"
image_10.png,"whistle, envelope, jersey, digital_clock, sweatshirt"
image_8.png,"stupa, candle, matchstick, bell_cote, maze"
image_1.png,"cinema, sombrero, throne, bottlecap, rugby_ball"
image_40.png,"whistle, envelope, jersey, digital_clock, sweatshirt"
image_26.png,"web_site, monitor, envelope, menu, screen"
image_27.png,"jersey, street_sign, book_jacket, comic_book, microphone"
image_19.png,"book_jacket, street_sign, comic_book, Band_Aid, jersey"
image_31.png,"cinema, sombrero, throne, bottlecap, rugby_ball"
